FIPS,Latitude,Longitude,adult_obesity_2015,adult_obesity_2016,adult_obesity_2017
5079,33.957665,-91.727624,0.338,0.357,0.375
5081,33.699497,-94.229774,0.312,0.331,0.327
5083,35.21855,-93.720563,0.347,0.353,0.375
5085,34.755114,-91.894132,0.335,0.339,0.358
5087,36.012545,-93.724053,0.333,0.329,0.34
5089,36.266656,-92.678588,0.309,0.308,0.317
5091,33.305505,-93.901509,0.327,0.335,0.359
5093,35.766943,-90.052209,0.387,0.377,0.398
5095,34.679513,-91.203314,0.358,0.371,0.375
5097,34.545652,-93.664147,0.306,0.331,0.338
5099,33.666699,-93.305072,0.329,0.343,0.36
5101,35.910063,-93.215084,0.36,0.367,0.342
5103,33.591158,-92.878418,0.378,0.378,0.348
5105,34.946363,-92.926877,0.331,0.361,0.375
5107,34.425842,-90.848386,0.4,0.415,0.455
5109,34.158191,-93.658659,0.351,0.373,0.378
5111,35.568981,-90.680595,0.357,0.404,0.384
5113,34.490915,-94.230884,0.325,0.32,0.367
5115,35.455297,-93.031535,0.348,0.328,0.321
5117,34.828225,-91.5572,0.345,0.353,0.363
5119,34.773988,-92.316515,0.329,0.315,0.317
5121,36.341299,-91.028441,0.352,0.353,0.353
5123,35.014438,-90.742199,0.395,0.404,0.425
5125,34.648525,-92.674463,0.315,0.315,0.325
5127,34.858869,-94.063641,0.311,0.313,0.325
5129,35.90966,-92.699351,0.312,0.318,0.35
5131,35.196981,-94.274989,0.31,0.352,0.369
5133,33.994608,-94.24329,0.387,0.398,0.367
5135,36.173399,-91.471069,0.302,0.334,0.373
5137,35.856989,-92.140494,0.348,0.351,0.326
5139,33.168219,-92.598145,0.363,0.355,0.394
5141,35.582959,-92.515977,0.344,0.35,0.356
5143,35.971209,-94.218417,0.292,0.292,0.306
5145,35.254722,-91.753158,0.339,0.354,0.363
5147,35.189071,-91.244418,0.367,0.361,0.358
5149,34.997713,-93.408303,0.343,0.352,0.371
6001,37.648081,-121.913304,0.205,0.2,0.2
6003,38.61761,-119.798999,0.235,0.237,0.234
6005,38.44355,-120.653856,0.248,0.266,0.255
6007,39.665959,-121.601919,0.244,0.252,0.259
6009,38.187844,-120.555115,0.243,0.253,0.235
6011,39.177739,-122.237563,0.223,0.237,0.254
6013,37.919479,-121.951543,0.224,0.229,0.25
6015,41.749903,-123.980998,0.255,0.272,0.255
6017,38.785532,-120.534398,0.21,0.194,0.206
6019,36.761006,-119.655019,0.285,0.288,0.266
6021,39.602546,-122.4017,0.259,0.283,0.267
6023,40.706673,-123.925818,0.257,0.245,0.255
6025,33.040816,-115.355395,0.221,0.25,0.263
6027,36.561977,-117.403927,0.228,0.229,0.233
6029,35.346629,-118.729506,0.28,0.285,0.303
6031,36.072478,-119.81553,0.237,0.249,0.264
6033,39.094802,-122.746757,0.265,0.266,0.262
6035,40.721089,-120.629931,0.241,0.249,0.239
6037,34.196398,-118.261862,0.213,0.21,0.214
6039,37.210039,-119.749852,0.276,0.267,0.265
6041,38.051817,-122.745974,0.158,0.181,0.189
6043,37.570034,-119.91286,0.241,0.234,0.244
6045,39.432388,-123.442881,0.242,0.232,0.224
6047,37.194806,-120.722802,0.311,0.293,0.295
6049,41.592919,-120.71837,0.241,0.246,0.232
